符合條件商品
資料日期：2023年  8月  9日
策略,	基金財務輸出CSV
序號,	代碼,	商品,	成交,	漲幅%,	總量,	CLOSE,	C_MA20,	VOL,	VOL_MA10,	ROE4,	毛利率,	營益率,	利息倍數,	股本,	市值
執行時間：2023-08-09 19:11 符合檔數(1770)
79	,1445.TW,大宇,19.4,-0.26,61,19.4,19,61,186.9,3.8,16.2,5.5,-5,13,25
80	,1446.TW,宏和,39.25,-1.38,208,39.25,37.4,208,302.7,-3.6,11.8,-27.9,-2,14,54
81	,1447.TW,力鵬,7.8,0.13,271,7.8,7.82,271,845,-3.2,1.2,-1.3,1,91,71
82	,1449.TW,佳和,18.25,-1.08,68,18.25,18.44,68,195.3,5,14.2,0.2,2,8,15
83	,1451.TW,年興,19.85,0.25,137,19.85,19.86,137,151.8,-1.4,2.9,-3.9,43,21,41
84	,1452.TW,宏益,16.55,0,68,16.55,16.7,68,105.5,0.8,4.7,-3.4,4895,13,22
85	,1453.TW,大將,13.8,-1.43,132,13.8,14.06,132,399.6,0,100,-4741.5,-2,10,14
86	,1454.TW,台富,17.95,-0.83,14,17.95,17.56,14,232.2,-0.8,9.2,-1.3,39,13,23
87	,1455.TW,集盛,9.85,-0.1,225,9.85,9.97,225,412.8,-2.5,1.3,-4.1,-29,53,52
88	,1456.TW,怡華,17,-1.16,49,17,16.56,49,78.5,-15.8,40.5,16.2,1,9,16
89	,1457.TW,宜進,17.4,0.29,102,17.4,17.43,102,89.4,0.4,5.1,-1.2,15,30,52
90	,1459.TW,聯發,9.45,-0.21,130,9.45,9.53,130,75.2,6.2,-18.4,-29.8,-8,36,34
91	,1460.TW,宏遠,8.64,-0.8,438,8.64,8.71,438,837.9,0.3,20.9,4.6,2,69,60
92	,1463.TW,強盛,15.05,-0.33,138,15.05,14.67,138,187.4,5.8,1.4,-17.9,24,17,26
93	,1464.TW,得力,15.25,0,263,15.25,15.29,263,232.9,-2.2,11.5,-4.8,4,38,59
94	,1465.TW,偉全,13.6,-0.37,16,13.6,13.45,16,60.3,0.6,11.4,-1.2,5332,10,14
95	,1466.TW,聚隆,11.15,-0.45,35,11.15,11.2,35,51,-19.8,-2.8,-14.3,-1,11,12
96	,1467.TW,南緯,12.35,-0.4,332,12.35,12.38,332,2600.5,-14.8,13.2,-11.1,1,23,21
97	,1468.TW,昶和,13,-2.99,48,13,14.25,48,36.4,0.8,11.9,0.1,3,16,21
98	,1470.TW,大統新創,19.5,-1.02,4,19.5,19.26,4,26.8,14.5,22.6,10.2,91,9,17
99	,1471.TW,首利,13.5,-3.91,2311,13.5,15.29,2311,4023.1,-0.8,10.8,-48.3,-133,15,20
