編號,地震時間,經度,緯度,深度,規模,震央位置
105023   ,2016/4/11 下午 01:45:00,122.12,24.55,59.8,5.7,宜蘭縣政府東偏南方  41.7  公里
105022   ,2016/3/22 上午 02:34:00,120.99,22.32,11.8,4.3,臺東縣政府南偏西方  51.5  公里
105019   ,2016/3/1 下午 10:42:00,121.5,24.08,18.6,4.3,花蓮縣政府西北方  15.7  公里 (位於花蓮縣秀林鄉)
105015   ,2016/2/18 上午 09:18:00,120.88,23.03,4.3,5.1,臺東縣政府西北方  41.2  公里 (位於臺東縣海端鄉)
105014   ,2016/2/18 上午 09:09:00,120.87,23.02,5.4,5.3,臺東縣政府西北方  40.9  公里 (位於臺東縣海端鄉)
105012   ,2016/2/14 上午 01:07:00,121.16,24.24,5.7,4.1,苗栗縣政府東南方  49.9  公里 (位於臺中市和平區)
105011   ,2016/2/9 上午 08:47:00,121.69,23.89,5.7,5.1,花蓮縣政府東南方  13.5  公里
105006   ,2016/2/6 上午 03:57:00,120.54,22.92,14.6,6.6,屏東縣政府北偏東方  27.1  公里 (位於高雄市美濃區)
105004   ,2016/1/19 上午 10:13:00,121.31,22.79,29.7,5.8,臺東縣政府東方  17.0  公里
105003   ,2016/1/11 下午 12:52:00,121.53,23.43,33.2,5.3,花蓮縣政府南方  62.4  公里
104099   ,2015/12/26 下午 12:05:00,121.68,24.21,15.7,4.4,花蓮縣政府北偏東方  25.5  公里 (位於花蓮縣近海)
104094   ,2015/12/14 下午 03:19:00,121.46,23.92,22.3,4.2,花蓮縣政府西偏南方  18.0  公里 (位於花蓮縣秀林鄉)
104092   ,2015/12/12 下午 11:39:00,121.34,23.38,13,4.4,臺東縣政府北偏東方  71.5  公里 (位於花蓮縣玉里鎮)
104090   ,2015/12/3 下午 10:31:00,121.39,22.6,25.9,5.3,臺東縣政府東偏南方  29.4  公里 (位於臺灣東部海域)
104087   ,2015/12/2 下午 01:21:00,121.91,24.19,23.9,4.9,花蓮縣政府東北方  36.9  公里 (位於臺灣東部海域)
104081   ,2015/11/3 上午 08:06:00,122.03,24.85,8.9,4.8,宜蘭縣政府東偏北方  29.8  公里 (位於臺灣東部海域)
104080   ,2015/11/2 上午 05:09:00,121.58,22.73,18.8,5.9,臺東縣政府東方  44.5  公里 (位於臺灣東部海域)
104079   ,2015/10/21 上午 09:14:00,121.01,22.55,9.4,4.5,臺東縣政府西南方  27.5  公里 (位於臺東縣近海)
104078   ,2015/10/19 上午 10:17:00,122.01,24.86,14.4,5.3,宜蘭縣政府東偏北方  29.1  公里 (位於臺灣東部海域)
104075   ,2015/10/16 下午 02:30:00,121.76,24.33,18.6,4.5,花蓮縣政府北偏東方  39.6  公里 (位於宜蘭縣南澳鄉)
104074   ,2015/10/16 下午 02:29:00,121.76,24.31,18.9,4.1,花蓮縣政府北偏東方  38.2  公里 (位於花蓮縣秀林鄉)
104073   ,2015/10/16 上午 07:54:00,121.76,24.33,18.2,4.6,花蓮縣政府北偏東方  40.1  公里 (位於宜蘭縣南澳鄉)
104072   ,2015/10/16 上午 07:52:00,121.76,24.32,18.8,4.6,花蓮縣政府北偏東方  38.9  公里 (位於宜蘭縣南澳鄉)
104071   ,2015/10/16 上午 03:37:00,121.75,24.33,17.6,4.2,花蓮縣政府北偏東方  39.7  公里 (位於宜蘭縣南澳鄉)
104070   ,2015/10/16 上午 02:17:00,121.74,24.33,15.9,4,花蓮縣政府北偏東方  39.8  公里 (位於宜蘭縣南澳鄉)
104069   ,2015/10/13 下午 07:49:00,121.65,23.48,49.1,5.5,花蓮縣政府南方  56.2  公里 (位於臺灣東部海域)
104067   ,2015/10/12 下午 07:14:00,121.47,22.45,20.5,5.2,臺東縣政府東南方  47.5  公里 (位於臺灣東部海域)
104066   ,2015/10/8 上午 05:50:00,121.8,24.25,17.1,4.4,花蓮縣政府東北方  34.1  公里 (位於花蓮縣近海)
104063   ,2015/9/30 上午 03:37:00,121.51,24.02,18.7,4.8,花蓮縣政府西偏北方  12.0  公里 (位於花蓮縣秀林鄉)
104062   ,2015/9/24 下午 01:58:00,120.69,22.6,31.3,4.7,屏東縣政府東偏南方  23.1  公里 (位於屏東縣泰武鄉)
104061   ,2015/9/17 上午 01:16:00,120.1,23,17.7,4.2,臺南市政府西方  9.1  公里 (位於臺南市近海)
104060   ,2015/9/16 下午 10:29:00,121.8,24.28,19.2,4.6,花蓮縣政府北偏東方  36.7  公里 (位於花蓮縣近海)
104059   ,2015/9/16 下午 09:30:00,121.83,24.28,22,4.5,花蓮縣政府東北方  38.5  公里 (位於花蓮縣近海)
104057   ,2015/9/16 下午 09:08:00,121.83,24.28,20.2,5.6,花蓮縣政府東北方  38.8  公里 (位於花蓮縣近海)
104055   ,2015/9/16 上午 10:07:00,121.83,24.24,18.5,4,花蓮縣政府東北方  35.2  公里 (位於臺灣東部海域)
104054   ,2015/9/16 上午 04:43:00,121.82,24.27,18.7,4.5,花蓮縣政府東北方  37.3  公里 (位於花蓮縣近海)
104051   ,2015/9/16 上午 03:37:00,121.82,24.25,19.8,5.7,花蓮縣政府東北方  35.0  公里 (位於花蓮縣近海)
104050   ,2015/9/16 上午 01:56:00,121.83,24.25,19,4.9,花蓮縣政府東北方  36.0  公里 (位於臺灣東部海域)
104049   ,2015/9/10 下午 11:23:00,121.82,24.24,18.6,4.9,花蓮縣政府東北方  34.6  公里 (位於臺灣東部海域)
