符合條件商品
資料日期：2023年 12月  1日
策略,	台股輸出
"序號","代碼","商品","成交","漲幅%","總量","總市值(億)","產業",細產業
161	,"1612.TW","宏泰","25.7","0.78","2382","81.2","上市電器電纜",銅箔基板,印刷電路板相關,電線電纜,電力電纜
162	,"1614.TW","三洋電","38.1","-0.52","163","102.5","上市電器電纜",資產股,小家電,電冰箱,洗衣機,冷氣機,家電,液晶電視
163	,"1615.TW","大山","38.4","0","58","62.9","上市電器電纜",電線電纜,電力電纜,非鐵金屬,銅,營建,地產
164	,"1616.TW","億泰","13.65","-1.44","8808","26.5","上市電器電纜",電線電纜,電力電纜
165	,"1617.TW","榮星","16.35","1.87","98","25.8","上市電器電纜",電線電纜,漆包線
166	,"1618.TW","合機","29.75","2.76","9993","57.3","上市電器電纜",電線電纜,電力電纜
167	,"1626.TW","艾美特-KY","16.6","0","56","25.4","上市電器電纜",小家電,家電
168	,"1701.TW","中化","25.7","4.05","8966","76.6","上市生技醫療",醫藥產業,西藥製劑,學名藥,醫療器材通路
169	,"1702.TW","南僑","50.4","0","349","148.2","上市食品",食品加工,大宗物資,油脂,麵製品相關,控股公司,資產股
170	,"1707.TW","葡萄王","155","0.98","219","211.2","上市生技醫療",生物科技,食品生技,食品加工,保健食品
171	,"1708.TW","東鹼","32.35","0.31","890","80.5","上市化工",肥料,鹼業,化學產品通路,化學工業,散裝航運,運輸事業
172	,"1709.TW","和益","21.1","1.2","511","100.7","上市化工",烷基苯,合成樹脂,酚,化學工業
173	,"1710.TW","東聯","19.6","-0.51","1217","173.6","上市化工",化學工業,其他化工產品,化纖原料,EG
174	,"1711.TW","永光","20.5","0.24","1224","112.3","上市化工",染料，顏料,化學工業,其他化工產品,光阻劑,電子化工材料
175	,"1712.TW","興農","37.55","-0.66","596","157.9","上市化工",農藥,化學工業,流通業,連鎖超市
176	,"1713.TW","國化","41.8","-0.95","90","63.1","上市化工",保險粉,化學工業,其他化工產品
177	,"1714.TW","和桐","9.27","0.87","4181","94.3","上市化工",烷基苯,正烷屬烴,化學工業,其他化工產品
178	,"1717.TW","長興","29.6","0","756","348.8","上市化工",合成樹脂,化學工業,電子化工材料
179	,"1718.TW","中纖","8.11","0.37","2372","136.7","上市化工",化學工業,其他化工產品,聚酯絲,聚酯加工絲,化纖原料,EG
180	,"1720.TW","生達","68","2.26","2015","121.5","上市生技醫療",醫藥產業,生物科技,西藥製劑,學名藥,食品生技
181	,"1721.TW","三晃","16.45","-0.9","1631","30.4","上市化工",PU樹脂,化學工業,其他化工產品
182	,"1722.TW","台肥","63.6","-0.16","921","623.3","上市化工",肥料,化學工業,其他化工產品,資產股
